DATE_TIME,Parker release (cfs),Colorado River above Imperial Dam -- USGS Provisional Data flow cfs (SDI=4958),CRIT Final Order,CRIT DIVERSION,Dif,PVID Final Order,PVID DIVERSION,Dif,CRIT - Total Return flow cfs ,PVID Return Flows above Taylor Ferry-return flow cfs ,PVID Return Flows below Taylor Ferry return flow cfs ,Colorado River below Palo Verde Dam
2002-01-01,6980,3740,,578,,,,299,5,560,6160,
2002-01-02,5476,5460,,792,,,,266,0,480,5870,
2002-01-03,5140,5840,,892,,,,310,0,450,4930,
2002-01-04,4342,5950,,744,,,,307,0,390,4340,
2002-01-05,4973,5520,,492,,,,321,0,380,4290,
2002-01-06,6503,5120,,0,,,,275,0,380,4790,
2002-01-07,4443,5560,,0,,,,247,0,370,5700,
2002-01-08,3639,5720,,0,,,,210,0,410,1870,
2002-01-09,5373,6200,,0,,,,190,0,400,5140,
2002-01-10,4748,7090,,0,,,,184,0,400,4810,
2002-01-11,8272,5820,,0,,,,188,0,400,4600,
2002-01-12,5989,5620,,0,,,,179,0,400,4180,
2002-01-13,6514,4980,,0,,,,173,0,39,5430,
2002-01-14,6978,6110,,0,,,,170,20,400,5460,
2002-01-15,7509,6180,,0,,,,169,50,430,5980,
2002-01-16,6003,6190,,0,,,,167,70,450,5750,
2002-01-17,4501,6300,,0,,,,168,60,460,4260,
2002-01-18,6977,6130,,0,,,,170,75,470,3590,
2002-01-19,7424,5650,,0,,,,167,75,500,5190,
2002-01-20,6976,4870,,122,,,,166,70,550,6050,
2002-01-21,7472,6100,,336,,,,167,40,560,5260,
2002-01-22,7529,6240,,742,,,,309,40,500,5640,
2002-01-23,6937,6470,,709,,,,232,60,550,5600,
2002-01-24,4979,6490,,869,,,,227,60,630,5040,
2002-01-25,8000,6280,,954,,,,233,50,630,3600,
2002-01-26,7487,5480,,1100,,,,269,40,520,5750,
2002-01-27,7025,4940,,1080,,,,286,40,610,5760,
2002-01-28,8433,6360,,974,,,,306,30,560,5560,
2002-01-29,7013,6490,,903,,,,294,30,560,6530,
2002-01-30,7415,6380,,953,,,,268,50,610,5170,
2002-01-31,6481,6920,,969,,,,309,30,630,5270,
2002-02-01,7486,6740,,879,,,,283,50,585,4880,
2002-02-02,8491,5810,,731,,,,311,40,620,5780,
2002-02-03,7991,5190,,579,,,,328,60,545,6520,
2002-02-04,7477,6380,,626,,,,336,70,510,6370,
2002-02-05,7481,6860,,674,,,,304,30,470,5600,
2002-02-06,6948,6980,,643,,,,275,50,510,5710,
2002-02-07,7018,6980,,646,,,,295,40,550,5310,
2002-02-08,7475,6430,,586,,,,273,40,530,5580,
2002-02-09,8509,6310,,474,,,,325,40,520,6230,
2002-02-10,8976,6020,,413,,,,271,50,540,7120,
2002-02-11,9992,7620,,448,,,,280,50,500,7590,
2002-02-12,9944,8190,,486,,,,268,30,520,8270,
2002-02-13,9511,8160,,554,,,,270,50,530,8050,
2002-02-14,7985,8170,,715,,,,284,30,550,7640,
2002-02-15,8482,7680,,646,,,,296,50,550,6790,
2002-02-16,8964,7050,,648,,,,256,50,520,7130,
2002-02-17,9458,7140,,700,,,,294,60,540,7910,
2002-02-18,8988,7770,,651,,,,286,50,530,7620,
2002-02-19,8971,8320,,649,,,,255,60,550,7430,
2002-02-20,9305,8810,,741,,,,262,30,480,6830,
2002-02-21,9436,8880,,774,,,,254,40,470,7400,
2002-02-22,10005,8370,,819,,,,257,50,530,7430,
2002-02-23,9969,8420,,769,,,,225,30,560,8380,
2002-02-24,10028,7820,,698,,,,271,60,550,8490,
2002-02-25,12511,9060,,717,,,,262,50,550,8680,
2002-02-26,10928,8970,,832,,,,310,60,500,10500,
2002-02-27,11977,8880,,886,,,,279,50,530,9190,
2002-02-28,9772,9340,,859,,,,266,60,590,9850,
2002-03-01,12036,9460,,839,,,,272,60,550,8140,
