DATE_TIME,Parker release (cfs),Colorado River above Imperial Dam -- USGS Provisional Data flow cfs (SDI=4958),CRIT Final Order,CRIT DIVERSION,Dif,PVID Final Order,PVID DIVERSION,Dif,CRIR - Total Return flow cfs ,PVID Return Flows above Taylor Ferry-return flow cfs ,PVID Return Flows below Taylor Ferry return flow cfs 
20020101,6980,3740,,,,,,,246,5,560
20020102,5476,5460,,,,,,,246,0,480
20020103,5140,5840,,,,,,,237,0,450
20020104,4342,5950,,,,,,,244,0,390
20020105,4973,5520,,,,,,,199,0,380
20020106,6503,5120,,,,,,,210,0,380
20020107,4443,5560,,,,,,,196,0,370
20020108,3639,5720,,,,,,,159,0,410
20020109,5373,6200,,,,,,,142,0,400
20020110,4748,7090,,,,,,,139,0,400
20020111,8272,5820,,,,,,,141,0,400
20020112,5989,5620,,,,,,,133,0,400
20020113,6514,4980,,,,,,,129,0,39
20020114,6978,6110,,,,,,,127,20,400
20020115,7509,6180,,,,,,,126,50,430
20020116,6003,6190,,,,,,,125,70,450
20020117,4501,6300,,,,,,,128,60,460
20020118,6977,6130,,,,,,,125,75,470
20020119,7424,5650,,,,,,,123,75,500
20020120,6976,4870,,,,,,,151,70,550
20020121,7472,6100,,,,,,,151,40,560
20020122,7529,6240,,,,,,,151,40,500
20020123,6937,6470,,,,,,,207,60,550
20020124,4979,6490,,,,,,,162,60,630
20020125,8000,6280,,,,,,,181,50,630
20020126,7487,5480,,,,,,,197,40,520
20020127,7025,4940,,,,,,,209,40,610
20020128,8433,6360,,,,,,,245,30,560
20020129,7013,6490,,,,,,,229,30,560
20020130,7415,6380,,,,,,,228,50,610
20020131,6481,6920,,,,,,,240,30,630
20020201,7486,6740,,,,,,,230,50,585
20020202,8491,5810,,,,,,,219,40,620
20020203,7991,5190,,,,,,,258,60,545
20020204,7477,6380,,,,,,,251,70,510
20020205,7481,6860,,,,,,,221,30,470
20020206,6948,6980,,,,,,,245,50,510
20020207,7018,6980,,,,,,,222,40,550
20020208,7475,6430,,,,,,,268,40,530
20020209,8509,6310,,,,,,,218,40,520
20020210,8976,6020,,,,,,,240,50,540
20020211,9992,7620,,,,,,,224,50,500
20020212,9944,8190,,,,,,,225,30,520
20020213,9511,8160,,,,,,,230,50,530
20020214,7985,8170,,,,,,,215,30,550
20020215,8482,7680,,,,,,,191,50,550
20020216,8964,7050,,,,,,,296,50,520
20020217,9458,7140,,,,,,,279,60,540
20020218,8988,7770,,,,,,,253,50,530
20020219,8971,8320,,,,,,,224,60,550
20020220,9305,8810,,,,,,,216,30,480
20020221,9436,8880,,,,,,,224,40,470
20020222,10005,8370,,,,,,,233,50,530
20020223,9969,8420,,,,,,,219,30,560
20020224,10028,7820,,,,,,,60,60,550
20020225,12511,9060,,,,,,,61,50,550
20020226,10928,8970,,,,,,,200,60,500
20020227,11977,8880,,,,,,,195,50,530
20020228,9772,9340,,,,,,,215,60,590
20020301,12036,9460,,,,,,,213,60,550
20020302,11914,9260,,,,,,,215,50,570
20020303,10019,9510,,,,,,,248,80,595
20020304,11327,10700,,,,,,,245,60,600
20020305,11487,9690,,,,,,,224,50,670
20020306,10974,8900,,,,,,,280,50,620
20020307,9503,8680,,,,,,,279,40,660
20020308,10678,9140,,,,,,,268,60,620
20020309,10982,9020,,,,,,,226,50,580
20020310,11401,9170,,,,,,,266,60,620
20020311,11473,9380,,,,,,,259,40,550
20020312,11481,9400,,,,,,,253,50,510
20020313,10450,9890,,,,,,,272,50,510
20020314,10100,10100,,,,,,,262,40,410
20020315,11475,9630,,,,,,,256,40,480
20020316,11844,8630,,,,,,,281,50,510
20020317,11493,9360,,,,,,,311,40,530
20020318,11494,9680,,,,,,,283,40,540
20020319,11800,10200,,,,,,,253,50,500
20020320,11577,10400,,,,,,,235,40,570
20020321,10023,10500,,,,,,,229,50,570
20020322,10480,10400,,,,,,,232,50,540
20020323,13155,9680,,,,,,,222,40,510
20020324,11479,9400,,,,,,,220,40,550
20020325,13805,10300,,,,,,,211,30,550
20020326,12412,10600,,,,,,,230,40,510
20020327,14047,10900,,,,,,,239,40,540
20020328,9894,11200,,,,,,,256,40,560
20020329,13258,10700,,,,,,,253,90,520
20020330,14874,9960,,,,,,,257,70,550
20020331,12838,10200,,,,,,,255,50,550
20020401,14999,11400,,,,,,,268,80,510
