Date,CRIT final order,CRIT diversion,dif,PVID final order,PVID diversion,dif
2014-01-01,681,615,-66,600,596,-4
2014-01-02,708,654,-54,810,794,-16
2014-01-03,832,748,-84,280,496,216
2014-01-04,696,542,-154,0,0,0
2014-01-05,0,0,0,0,0,0
2014-01-06,0,0,0,0,0,0
2014-01-07,0,0,0,0,0,0
2014-01-08,0,0,0,0,0,0
2014-01-09,0,0,0,0,0,0
2014-01-10,0,0,0,0,0,0
2014-01-11,0,0,0,0,0,0
2014-01-12,0,0,0,0,0,0
2014-01-13,0,0,0,100,91,-9
2014-01-14,0,0,0,600,623,23
2014-01-15,0,0,0,360,380,20
2014-01-16,0,0,0,650,872,222
2014-01-17,0,0,0,980,999,19
2014-01-18,500,296,-204,1020,1060,40
2014-01-19,700,578,-122,1100,1110,10
2014-01-20,985,825,-160,1380,1390,10
2014-01-21,1100,936,-164,1340,1520,180
2014-01-22,1275,1180,-95,1570,1560,-10
2014-01-23,1270,1190,-80,1490,1560,70
2014-01-24,1125,1080,-45,1490,1530,40
2014-01-25,1057,990,-67,1420,1440,20
2014-01-26,974,897,-77,1050,1060,10
2014-01-27,1038,938,-100,970,1010,40
2014-01-28,1000,943,-57,980,970,-10
2014-01-29,945,872,-73,930,1020,90
2014-01-30,958,864,-94,950,997,47
2014-01-31,830,797,-33,930,953,23
2014-02-01,655,635,-20,880,942,62
2014-02-02,679,611,-68,690,749,59
2014-02-03,607,561,-46,950,931,-19
2014-02-04,610,552,-58,1010,1060,50
2014-02-05,565,538,-27,1170,1160,-10
2014-02-06,653,570,-83,1190,1190,0
2014-02-07,800,710,-90,1020,1040,20
2014-02-08,611,577,-34,1050,1040,-10
2014-02-09,555,511,-44,830,812,-18
2014-02-10,525,503,-22,950,997,47
2014-02-11,500,472,-28,1050,1100,50
2014-02-12,549,515,-34,1070,1120,50
2014-02-13,630,586,-44,1040,1180,140
2014-02-14,580,541,-39,1170,1100,-70
2014-02-15,550,529,-21,1010,1040,30
2014-02-16,768,678,-90,850,857,7
2014-02-17,830,758,-72,770,1030,260
2014-02-18,857,775,-82,1010,1020,10
2014-02-19,883,795,-88,1030,1080,50
2014-02-20,1000,891,-109,990,1010,20
2014-02-21,980,928,-52,1000,1090,90
2014-02-22,910,842,-68,1000,1020,20
2014-02-23,804,765,-39,840,948,108
2014-02-24,930,837,-93,1200,1180,-20
2014-02-25,880,804,-76,1180,1180,0
2014-02-26,960,862,-98,1120,1140,20
2014-02-27,1000,886,-114,1180,1190,10
2014-02-28,960,848,-112,1110,1110,0
2014-03-01,710,629,-81,770,782,12
2014-03-02,395,397,2,670,662,-8
2014-03-03,432,393,-39,860,850,-10
2014-03-04,460,401,-59,990,1060,70
2014-03-05,526,458,-68,1250,1230,-20
2014-03-06,650,573,-77,1080,1130,50
2014-03-07,705,642,-63,1070,1070,0
2014-03-08,785,702,-83,1150,1140,-10
2014-03-09,825,725,-100,1080,1160,80
2014-03-10,964,849,-115,1400,1350,-50
2014-03-11,942,865,-77,1420,1340,-80
