Date,7-Day Running Average Order (cfs),7-Day Running Average Diversion (cfs),Total U.S. Order @ Imperial Dam (cfs),Total U.S. Diversion @ Imperial Dam (cfs)
2012-01-01,1880,1404,1880,1404
2012-01-02,2779,2238,3678,3071
2012-01-03,3232,2757,4138,3796
2012-01-04,3521,3176,4388,4433
2012-01-05,3510,3364,3468,4118
2012-01-06,3627,3421,4208,3702
2012-01-07,3665,3417,3898,3396
2012-01-08,3859,3623,3238,2848
2012-01-09,3925,3649,4138,3247
2012-01-10,3921,3588,4108,3372
2012-01-11,3868,3472,4018,3619
2012-01-12,3939,3358,3968,3320
2012-01-13,3977,3359,4468,3710
2012-01-14,3950,3413,3713,3772
2012-01-15,3919,3403,3018,2779
2012-01-16,3883,3441,3888,3516
2012-01-17,3877,3503,4068,3802
2012-01-18,3900,3520,4178,3743
2012-01-19,4007,3646,4718,4203
2012-01-20,3969,3669,4198,3869
2012-01-21,4070,3661,4423,3713
2012-01-22,4114,3693,3328,3006
2012-01-23,4243,3749,4788,3903
2012-01-24,4363,3771,4908,3961
2012-01-25,4503,3859,5158,4355
2012-01-26,4564,3881,5148,4360
2012-01-27,4657,3881,4848,3867
2012-01-28,4669,3895,4503,3813
2012-01-29,4699,3883,3538,2919
2012-01-30,4692,3929,4738,4230
2012-01-31,4716,3995,5078,4417
2012-02-01,4760,4050,5468,4741
2012-02-02,4789,4142,5348,5003
2012-02-03,4800,4193,4928,4223
2012-02-04,4809,4190,4563,3797
2012-02-05,4802,4212,3488,3069
2012-02-06,4817,4228,4848,4346
2012-02-07,4857,4260,5358,4642
2012-02-08,4837,4257,5328,4717
2012-02-09,4820,4191,5228,4545
2012-02-10,4874,4221,5308,4428
2012-02-11,4810,4188,4113,3570
2012-02-12,4760,4165,3138,2908
2012-02-13,4781,4180,4993,4452
2012-02-14,4745,4257,5108,5179
2012-02-15,4729,4305,5218,5052
2012-02-16,4795,4349,5688,4852
2012-02-17,4855,4346,5728,4408
2012-02-18,5039,4365,5398,3702
2012-02-19,5093,4370,3518,2946
2012-02-20,5099,4359,5033,4377
2012-02-21,5094,4300,5078,4765
2012-02-22,5113,4263,5348,4791
2012-02-23,5099,4281,5588,4978
2012-02-24,5147,4431,6068,5456
2012-02-25,5204,4665,5798,5339
2012-02-26,5422,4921,5038,4739
2012-02-27,5704,5139,7013,5903
2012-02-28,5997,5344,7128,6198
2012-02-29,6283,5605,7348,6624
2012-03-01,6504,5856,7138,6734
2012-03-02,6702,6013,7448,6550
2012-03-03,6849,6143,6828,6254
2012-03-04,6986,6232,5998,5359
2012-03-05,7036,6317,7363,6500
