# SITE INFORMATION #
description,state,latitude,longitude,timezone,install,horizontalDatum,verticalDatum,verticalAccuracy,elevationMethod,tzOffset,activeFlag,type,responsibility,agencyRegion,siteid,elevation
Colorado River at Cibola Gage,AZ,33.2322,-114.6817,US/Mountain,,,,0,,,,stream,,LC,clc,214.5
# SERIES DATA #
Site,Site ID,Parameter,Date,Value,Units
Colorado River at Cibola Gage,clc,Streamflow,2018-07-02 00:00:00,10698.3,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-07-01 00:00:00,11061.1,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-06-28 00:00:00,8604.96,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-06-27 00:00:00,9569.71,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-06-26 00:00:00,10835.7,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-06-25 00:00:00,10634,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-06-24 00:00:00,9130.62,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-06-23 00:00:00,7088.29,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-06-22 00:00:00,7993.54,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-06-21 00:00:00,9367.08,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-06-20 00:00:00,9825.25,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-06-19 00:00:00,10487.1,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-06-18 00:00:00,11320,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-06-17 00:00:00,10627.2,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-06-16 00:00:00,9847.33,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-06-15 00:00:00,7861.33,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-06-14 00:00:00,8660.71,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-06-13 00:00:00,9527.83,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-06-12 00:00:00,9836.62,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-06-11 00:00:00,9969.83,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-06-10 00:00:00,9117.88,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-06-09 00:00:00,9326.25,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-06-08 00:00:00,10049.7,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-06-07 00:00:00,11870.2,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-06-06 00:00:00,11439.1,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-06-05 00:00:00,11525.7,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-06-04 00:00:00,11715.9,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-06-03 00:00:00,11504.8,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-06-02 00:00:00,9105.29,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-06-01 00:00:00,9024.83,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-05-31 00:00:00,8753.12,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-05-30 00:00:00,8590.33,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-05-29 00:00:00,9737.71,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-05-28 00:00:00,10652.9,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-05-27 00:00:00,10947.3,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-05-26 00:00:00,8228.62,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-05-25 00:00:00,7322.58,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-05-24 00:00:00,8515.04,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-05-23 00:00:00,9610.21,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-05-22 00:00:00,9734.62,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-05-21 00:00:00,10299.7,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-05-20 00:00:00,11232.3,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-05-19 00:00:00,9254,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-05-18 00:00:00,8881.92,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-05-17 00:00:00,8788.33,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-05-16 00:00:00,8888.58,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-05-15 00:00:00,10547.7,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-05-14 00:00:00,11109,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-05-13 00:00:00,11603.9,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-05-12 00:00:00,9083.12,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-05-11 00:00:00,9296.54,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-05-10 00:00:00,9608.42,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-05-09 00:00:00,10197.3,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-05-08 00:00:00,11430.8,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-05-07 00:00:00,11760.2,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-05-06 00:00:00,10730,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-05-05 00:00:00,8943.74,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-05-04 00:00:00,8216.21,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-05-03 00:00:00,9069.17,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-05-02 00:00:00,9604.38,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-05-01 00:00:00,10295.9,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-04-30 00:00:00,11601.5,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-04-29 00:00:00,11273.2,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-04-28 00:00:00,9882.12,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-04-27 00:00:00,9612.25,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-04-26 00:00:00,10351.6,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-04-25 00:00:00,10129,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-04-24 00:00:00,10369.6,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-04-23 00:00:00,11049,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-04-22 00:00:00,10992.8,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-04-21 00:00:00,10371,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-04-20 00:00:00,10289.6,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-04-19 00:00:00,11026.1,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-04-18 00:00:00,11445.4,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-04-17 00:00:00,12880.8,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-04-16 00:00:00,12470.9,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-04-15 00:00:00,12211.6,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-04-14 00:00:00,11066,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-04-13 00:00:00,10110.4,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-04-12 00:00:00,10445.4,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-04-11 00:00:00,10619.6,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-04-10 00:00:00,11810,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-04-09 00:00:00,14072.7,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-04-08 00:00:00,11788,cubic feet per second
