# SITE INFORMATION #
description,state,latitude,longitude,timezone,install,horizontalDatum,verticalDatum,verticalAccuracy,elevationMethod,tzOffset,activeFlag,type,responsibility,agencyRegion,siteid,elevation
Colorado River Below Interstate Bridge,AZ,33.6006,-114.5497,US/Mountain,,,,0,,,,stream,,LC,biblc,
# SERIES DATA #
Site,Site ID,Parameter,Date,Value,Units
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-07-02 00:00:00,9865.62,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-07-01 00:00:00,10700.9,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-06-28 00:00:00,7619.79,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-06-27 00:00:00,8797.79,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-06-26 00:00:00,9658.71,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-06-25 00:00:00,10731.3,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-06-24 00:00:00,9853.92,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-06-23 00:00:00,8663.25,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-06-22 00:00:00,5292.5,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-06-21 00:00:00,8605.67,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-06-20 00:00:00,9044.38,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-06-19 00:00:00,9736.58,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-06-18 00:00:00,10270.8,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-06-17 00:00:00,10872.6,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-06-16 00:00:00,10258.6,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-06-15 00:00:00,8430.58,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-06-14 00:00:00,7648.12,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-06-13 00:00:00,8793.17,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-06-12 00:00:00,9464.96,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-06-11 00:00:00,9893.62,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-06-10 00:00:00,9334.46,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-06-09 00:00:00,8882.79,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-06-08 00:00:00,8459.71,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-06-07 00:00:00,10882.2,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-06-06 00:00:00,11595.8,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-06-05 00:00:00,10757.5,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-06-04 00:00:00,11428.2,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-06-03 00:00:00,11092.6,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-06-02 00:00:00,10396.3,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-06-01 00:00:00,6847.67,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-05-31 00:00:00,8886.92,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-05-30 00:00:00,8125.25,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-05-29 00:00:00,8107.25,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-05-28 00:00:00,9505.92,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-05-27 00:00:00,10176.2,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-05-26 00:00:00,10518.2,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-05-25 00:00:00,5668.92,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-05-24 00:00:00,7198.12,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-05-23 00:00:00,8317.75,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-05-22 00:00:00,9168.5,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-05-21 00:00:00,9069.33,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-05-20 00:00:00,10258.5,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-05-19 00:00:00,10716.1,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-05-18 00:00:00,6645,cubic feet per second
Colorado River Below Interstate Bridge,biblc,Streamflow,2018-05-17 00:00:00,8713.04,cubic feet per second
