# SITE INFORMATION #
description,state,latitude,longitude,timezone,install,horizontalDatum,verticalDatum,verticalAccuracy,elevationMethod,tzOffset,activeFlag,type,responsibility,agencyRegion,siteid,elevation
Colorado River Below McIntyre Park,AZ,33.5164,-114.5692,US/Mountain,,,,0,,,,stream,,LC,bmplc,
# SERIES DATA #
Site,Site ID,Parameter,Date,Value,Units
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-07-02 00:00:00,10256.5,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-07-01 00:00:00,10985.8,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-06-28 00:00:00,7905.29,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-06-27 00:00:00,9122.3,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-06-26 00:00:00,10177.7,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-06-25 00:00:00,10953.8,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-06-24 00:00:00,9778.54,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-06-23 00:00:00,8566.12,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-06-22 00:00:00,5902.92,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-06-21 00:00:00,9026.21,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-06-20 00:00:00,9434.96,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-06-19 00:00:00,10215.7,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-06-18 00:00:00,10877.7,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-06-17 00:00:00,11108.8,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-06-16 00:00:00,10632.4,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-06-15 00:00:00,8430.5,cubic feet per second
Colorado River Below McIntyre Park,bmplc,Streamflow,2018-06-14 00:00:00,8058.21,cubic feet per second
