# SITE INFORMATION #
description,state,latitude,longitude,timezone,install,horizontalDatum,verticalDatum,verticalAccuracy,elevationMethod,tzOffset,activeFlag,type,responsibility,agencyRegion,siteid,elevation
Colorado River Below Oxbow Bridge,AZ,33.3683,-114.7264,US/Mountain,,,,0,,,,stream,,LC,boblc,
# SERIES DATA #
Site,Site ID,Parameter,Date,Value,Units
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-07-02 00:00:00,10683,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-07-01 00:00:00,11326.3,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-06-28 00:00:00,8151.38,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-06-27 00:00:00,9391.29,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-06-26 00:00:00,10802.2,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-06-25 00:00:00,11018.3,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-06-24 00:00:00,9331.12,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-06-23 00:00:00,7652.58,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-06-22 00:00:00,6872.33,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-06-21 00:00:00,9231.17,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-06-20 00:00:00,9655.83,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-06-19 00:00:00,10525.6,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-06-18 00:00:00,11476.4,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-06-17 00:00:00,11047.4,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-06-16 00:00:00,10559.6,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-06-15 00:00:00,7934.75,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-06-14 00:00:00,8377.96,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-06-13 00:00:00,9504.08,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-06-12 00:00:00,9891.21,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-06-11 00:00:00,10287.5,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-06-10 00:00:00,9268.88,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-06-09 00:00:00,9530.04,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-06-08 00:00:00,9548.96,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-06-07 00:00:00,12036.9,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-06-06 00:00:00,11539.1,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-06-05 00:00:00,11293,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-06-04 00:00:00,11725.8,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-06-03 00:00:00,11614,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-06-02 00:00:00,9682.92,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-06-01 00:00:00,8160.08,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-05-31 00:00:00,8545.12,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-05-30 00:00:00,8296.71,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-05-29 00:00:00,9137.04,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-05-28 00:00:00,10248.3,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-05-27 00:00:00,10720.8,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-05-26 00:00:00,8989.58,cubic feet per second
Colorado River Below Oxbow Bridge,boblc,Streamflow,2018-05-25 00:00:00,6316.42,cubic feet per second
