# SITE INFORMATION #
description,state,latitude,longitude,timezone,install,horizontalDatum,verticalDatum,verticalAccuracy,elevationMethod,tzOffset,activeFlag,type,responsibility,agencyRegion,siteid,elevation
Colorado River at Parker Gage,CA,34.1428,-114.3189,US/Pacific,,,,0,,,,stream,,LC,pglc,347.3
# SERIES DATA #
Site,Site ID,Parameter,Date,Value,Units
Colorado River at Parker Gage,pglc,Streamflow,2018-06-27 00:00:00,8731.33,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-06-26 00:00:00,10674.3,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-06-25 00:00:00,11974.8,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-06-24 00:00:00,13168.6,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-06-23 00:00:00,11682.7,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-06-22 00:00:00,10833.6,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-06-21 00:00:00,5752.38,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-06-20 00:00:00,10666.4,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-06-19 00:00:00,11039.5,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-06-18 00:00:00,11933.3,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-06-17 00:00:00,12450.2,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-06-16 00:00:00,12668,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-06-15 00:00:00,12670.3,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-06-14 00:00:00,9686.71,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-06-13 00:00:00,8933.25,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-06-12 00:00:00,10409.1,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-06-11 00:00:00,11320,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-06-10 00:00:00,11938.5,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-06-09 00:00:00,10736.8,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-06-08 00:00:00,10683.8,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-06-07 00:00:00,9658.25,cubic feet per second
Colorado River at Parker Gage,pglc,Streamflow,2018-06-06 00:00:00,13452.4,cubic feet per second
