# SITE INFORMATION #
description,state,latitude,longitude,timezone,install,horizontalDatum,verticalDatum,verticalAccuracy,elevationMethod,tzOffset,activeFlag,type,responsibility,agencyRegion,siteid,elevation
Colorado River at Water Wheel,AZ,33.9206,-114.5356,US/Mountain,,,,0,,,,stream,,LC,wwlc,305.91
# SERIES DATA #
Site,Site ID,Parameter,Date,Value,Units
Colorado River at Water Wheel,wwlc,Streamflow,2018-06-27 00:00:00,9181.12,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-06-26 00:00:00,10516.7,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-06-25 00:00:00,12533.5,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-06-24 00:00:00,12165.2,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-06-23 00:00:00,10109,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-06-22 00:00:00,8023.3,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-06-21 00:00:00,9671.04,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-06-20 00:00:00,12184.8,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-06-19 00:00:00,12562.8,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-06-18 00:00:00,13482.3,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-06-17 00:00:00,14370.8,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-06-16 00:00:00,13762.3,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-06-15 00:00:00,13489,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-06-14 00:00:00,9465.96,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-06-13 00:00:00,10631.4,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-06-12 00:00:00,12240.3,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-06-11 00:00:00,12116.3,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-06-10 00:00:00,12392.2,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-06-09 00:00:00,11131,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-06-08 00:00:00,11821.5,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-06-07 00:00:00,12253.2,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-06-06 00:00:00,15352.5,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-06-05 00:00:00,14615.8,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-06-04 00:00:00,14176.3,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-06-03 00:00:00,14078.9,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-06-02 00:00:00,14573.6,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-06-01 00:00:00,11830,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-05-31 00:00:00,10932.1,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-05-30 00:00:00,10977.9,cubic feet per second
